,0
A_0_0,-1.0648680127834642e-07
A_1_0,4.044510432800997e-07
A_1_1,1.8540335645414533e-06
B_1_1,-2.4625005600123744e-05
A_2_0,-0.00015106106751613298
A_2_1,-2.078181306592889e-05
B_2_1,-1.8465016188286978e-06
A_2_2,1.9477905959869553e-05
B_2_2,9.447921758045708e-06
A_3_0,0.0001322902846371934
A_3_1,-1.1562764870571781e-05
B_3_1,-0.0012456308085660663
A_3_2,-6.909644636371172e-05
B_3_2,2.420283168121768e-05
A_3_3,-5.281917618291352e-05
B_3_3,0.00010343524074464578
A_4_0,0.0005203112161093634
A_4_1,-0.00021313764868317073
B_4_1,0.0004693528184376494
A_4_2,0.0010509967849745895
B_4_2,-0.00016619799318936217
A_4_3,0.00013962912972682228
B_4_3,-0.00021447335558194043
A_4_4,3.069062009738863e-05
B_4_4,-0.0006199179980256125
A_5_0,-0.00028602012572920797
A_5_1,-0.00790907423181719
B_5_1,-0.03212142224019493
A_5_2,-0.0005568942930078112
B_5_2,0.0001292089844751171
A_5_3,-0.00044916282738484414
B_5_3,-0.0017467049422356792
A_5_4,0.0010335797977881122
B_5_4,-0.0008830871524255035
A_5_5,-0.0016645937381640026
B_5_5,-0.0018737231301725725
A_6_0,0.06876668024227746
A_6_1,0.009712834546345979
B_6_1,0.008466574066427868
A_6_2,0.005779301154053156
B_6_2,0.009896811799134753
A_6_3,-0.008410250756215858
B_6_3,0.006286100869935928
A_6_4,-0.01138512298374277
B_6_4,-0.0012352728777502986
A_6_5,0.004478544916637812
B_6_5,-0.018216990085915177
A_6_6,-0.0020656232446891847
B_6_6,0.00662904419230142
A_7_0,-0.0612314885516154
A_7_1,0.04393309764047129
B_7_1,0.28463011587155573
A_7_2,0.004964610071747005
B_7_2,-0.03620539480385241
A_7_3,-0.03244694245073104
B_7_3,0.006985230877261661
A_7_4,-0.014203113840877503
B_7_4,-0.009582809791362806
A_7_5,-0.009939969177452934
B_7_5,-0.011078566638935222
A_7_6,-0.020438569622765662
B_7_6,0.0014028335890614654
A_7_7,-0.039764284358429686
B_7_7,-0.0038090214069713135
A_8_0,-10.504908697019717
A_8_1,0.12593204530907864
B_8_1,0.5995857257544788
A_8_2,-0.03555473002843457
B_8_2,0.1328543943212419
A_8_3,-0.34518623864545006
B_8_3,0.37364949718907203
A_8_4,-0.0772439284281734
B_8_4,0.1568451351643816
A_8_5,-0.048763142307034046
B_8_5,-0.048850728669140864
A_8_6,0.043354764864297346
B_8_6,0.16796682824355785
A_8_7,-0.01173449879144739
B_8_7,0.07182267873872683
A_8_8,-0.1108791928339602
B_8_8,0.19482880231894617
